tanggal,perlakuan,ulangan,diameter_1,diameter_2,diameter_3,diameter_4
2025-08-08,A,1,8.9,8.8,9.0,9.1
2025-08-08,A,2,11.6,12.0,12.6,11.9
2025-08-08,A,3,10.9,10.0,9.4,10.8
2025-08-08,A,4,9.6,10.0,10.2,10.6
2025-08-08,A,5,10.4,11.6,9.8,10.9
2025-08-08,B,1,13.2,11.5,13.7,12.3
2025-08-08,B,2,12.7,11.7,13.8,10.3
2025-08-08,B,3,12.3,12.2,12.9,10.7
2025-08-08,B,4,10.6,11.4,9.3,10.5
2025-08-08,B,5,8.7,8.1,8.4,8.2
2025-08-08,C,1,11.0,10.9,11.1,11.5
2025-08-08,C,2,7.5,8.6,9.2,8.3
2025-08-08,C,3,10.0,9.5,10.5,11.2
2025-08-08,C,4,9.6,10.3,11.1,9.9
2025-08-08,C,5,10.4,10.9,11.2,9.9
2025-08-08,D,1,10.3,11.3,12.7,10.2
2025-08-08,D,2,13.4,12.2,11.0,10.0
2025-08-08,D,3,11.1,11.1,10.6,9.9
2025-08-08,D,4,8.1,10.3,11.1,8.2
2025-08-08,D,5,12.8,11.0,11.4,12.1
2025-08-08,E,1,10.2,11.3,12.3,10.6
2025-08-08,E,2,9.6,10.7,10.9,9.9
2025-08-08,E,3,10.4,10.0,10.3,9.0
2025-08-08,E,4,8.5,8.6,10.0,10.2
2025-08-08,E,5,10.3,10.6,10.4,11.1
2025-08-08,F,1,7.7,8.6,8.2,9.0
2025-08-08,F,2,7.0,7.6,9.4,9.1
2025-08-08,F,3,10.3,9.9,9.4,8.6
2025-08-08,F,4,8.4,9.1,9.1,8.1
2025-08-08,F,5,8.3,8.5,9.1,8.6
2025-08-09,E,4,26.2,25.2,25.5,26.7
2025-08-09,B,5,20.1,19.9,19.7,20.4
2025-08-09,A,2,26.7,25.3,24.1,26.4
2025-08-09,F,4,17.9,17.5,17.8,16.5
2025-08-09,A,3,24.8,23.1,27.7,26.3
2025-08-09,F,1,19.6,18.1,23.3,22.9
2025-08-09,A,1,23.6,23.9,24.0,23.5
2025-08-09,A,4,28.0,25.7,27.1,28.2
2025-08-09,F,5,16.8,16.3,16.8,16.1
2025-08-09,E,1,24.1,24.8,25.3,25.6
2025-08-09,E,5,21.7,22.3,21.6,19.4
2025-08-09,A,5,25.5,25.4,25.6,28.7
2025-08-09,B,2,24.1,25.3,26.0,22.6
2025-08-09,D,2,21.1,21.7,21.8,21.7
2025-08-09,D,1,24.7,23.5,21.7,24.7
2025-08-09,D,3,27.4,22.9,27.4,24.5
2025-08-09,D,5,25.4,25.6,25.0,25.4
2025-08-09,B,1,16.1,14.8,16.2,17.0
2025-08-09,C,1,24.8,24.0,24.9,23.9
2025-08-09,F,2,19.3,17.6,19.5,20.1
2025-08-09,F,3,17.8,17.4,18.0,18.3
2025-08-09,C,5,27.5,24.7,21.5,26.1
2025-08-09,B,3,19.1,19.7,18.6,18.7
2025-08-09,C,4,22.3,30.0,32.1,25.1
2025-08-09,B,4,18.6,19.4,18.8,19.6
2025-08-09,E,3,24.0,24.1,24.4,24.3
2025-08-09,D,4,24.6,25.5,25.9,28.5
2025-08-09,C,2,21.0,23.0,22.3,19.1
2025-08-09,C,3,24.7,24.5,24.6,24.4
2025-08-09,E,2,10.0,11.4,12.2,10.5
2025-08-10,C,5,33.9,31.3,32.8,31.6
2025-08-10,F,1,26.1,28.6,35.2,32.4
2025-08-10,A,3,36.3,34.4,40.0,35.1
2025-08-10,F,4,24.0,26.9,26.9,26.8
2025-08-10,A,1,34.6,34.9,32.6,34.9
2025-08-10,F,2,27.4,25.2,28.2,30.6
2025-08-10,C,1,39.9,36.8,37.0,39.1
2025-08-10,D,3,33.6,32.5,35.6,34.2
2025-08-10,B,2,27.5,26.3,26.9,28.2
2025-08-10,E,2,36.9,39.1,37.0,36.2
2025-08-10,B,1,23.8,18.3,15.7,18.1
2025-08-10,D,5,36.0,35.1,33.8,33.8
2025-08-10,D,1,37.4,34.9,40.1,35.4
2025-08-10,D,2,35.3,32.7,35.1,34.2
2025-08-10,A,5,39.3,35.9,34.9,35.9
2025-08-10,E,1,37.9,34.5,34.8,36.4
2025-08-10,F,5,23.6,24.2,25.3,23.7
2025-08-10,A,4,30.6,31.6,34.2,35.0
2025-08-10,A,2,35.5,31.2,36.6,36.2
2025-08-10,E,5,25.2,23.8,26.4,25.9
2025-08-10,E,3,33.5,34.7,38.6,37.7
2025-08-10,B,4,21.1,18.6,19.7,18.1
2025-08-10,C,4,31.8,43.2,44.7,32.6
2025-08-10,B,3,21.4,19.6,18.8,16.3
2025-08-10,F,3,25.3,24.6,26.9,24.9
2025-08-10,B,5,18.4,18.5,16.7,16.6
2025-08-10,E,4,36.4,35.8,34.5,36.4
2025-08-10,C,3,38.0,34.9,34.6,37.3
2025-08-10,C,2,28.8,26.4,31.3,28.3
2025-08-10,D,4,35.4,35.2,32.7,35.6
2025-08-11,A,3,45.0,48.5,51.3,51.4
2025-08-11,E,4,47.1,42.6,48.2,46.2
2025-08-11,B,3,26.9,26.2,29.2,23.3
2025-08-11,C,4,47.3,50.9,50.0,46.7
2025-08-11,B,4,22.3,22.8,28.4,29.7
2025-08-11,E,3,52.9,55.3,53.2,53.2
2025-08-11,B,5,27.8,25.4,28.0,27.7
2025-08-11,D,4,47.0,47.7,47.4,50.9
2025-08-11,C,3,48.1,48.2,49.4,46.5
2025-08-11,F,3,34.4,35.2,36.9,35.8
2025-08-11,C,2,40.3,44.1,44.5,45.0
2025-08-11,F,2,33.2,35.6,35.8,37.7
2025-08-11,A,2,47.5,50.1,48.2,48.2
2025-08-11,F,4,37.1,36.4,35.4,35.8
2025-08-11,A,5,53.0,49.5,49.9,52.6
